279932	34317.71	13277.06	1141870	35629.25	323788.6	247791.1	185754.5	1282.952	905375.8	1357518	67296.52	115098.9	150127.7	55488.89	21848.71	163941.8	15395.42	2886.639	33621.53	0	82684.48	8093.035	14440.66	446892.3	860356.9	14848.42	149039.9	222244	637380.7	3720017
810.442	150528.6	70.698	5119.451	15167.69	6522.056	12819.16	484.988	28.917	1193.968	1907.595	736.577	9.494	7370.959	10140.96	24.844	2560.736	4770.378	1727.963	895.912	7295.855	0	32.623	31.64	2292.619	1103.674	11.609	12297.95	5710.781	58320.3	115121.4
14332.36	8332.209	2019.17	165391.5	12795.39	21016.26	8442.22	86865.23	3347.334	23516.35	29495.96	3536.682	2642.905	13830.78	3052.171	23367.85	74065.62	921.795	198.492	3452.568	160926.5	8404.959	0	4233.397	29205.04	153615.1	125099.6	19256.96	47699.38	61869.9	368667.6
91222.87	3400.109	345.944	258365.7	40103.91	21679.64	13192.95	15286.14	584.679	310187.2	116784.4	18575.69	8875.81	7847.815	2594.372	1006.407	33320.41	188.991	4.311	4179.097	96728.1	595.53	41.429	0	15447.81	748962.4	10168.36	17832.6	82734.37	114239.2	442418.6
84957.92	43701.27	512.035	25450.16	15941.37	655.601	26747.74	6119.654	24.536	6160.074	38512.78	1588.151	132.301	25193.06	51810.72	700.596	2818.032	957.478	102.524	451.606	12402.61	3954.067	1408.776	218.66	0	8680.911	118.469	10194.97	11173.04	90535.33	265547.7
329453.2	43051.91	2717.839	739965.5	205164.7	183106.4	90084.28	160641.9	18182.36	1950580	355926.3	102907.9	70458.74	55359.64	61766.91	100145.8	362477.2	2171.446	1346.754	41973.94	493434.1	65887.99	69105.17	432170.9	144607.8	0	62486.64	99908.17	538663.7	805891.4	2356780
15407.11	1057.404	5830.326	110842.3	7051.552	10711.21	5023.009	227801.1	65552.37	42001.08	224808.1	11143.74	4214.616	5396.996	2784.025	2222.906	93810.94	696.544	195.299	3224.186	528240.1	1913.078	725462.4	1901.961	6564.504	199020.8	0	17195.88	24250.78	57466.59	761084.1
88151.01	4591.493	761.638	142330.6	29488.85	4883.157	46546.71	5489.447	1314.945	31500.74	72014.01	189413.2	19935.65	21245.34	64347.4	91.213	29165.65	801.202	434.678	1046.603	36668.19	1106.051	5431.315	290.824	1452.331	9957.98	2642.366	0	10335.97	800924	1207908
87350.84	44462.25	10805.54	389198.1	206615.6	213289	215997	109633.4	13647.63	973003.8	396937.4	122264	8076.259	204793.2	99171.81	396462.9	381396.7	8577.087	4056.402	29665.55	2528826	125653.6	73045.32	65327.96	448540.1	1642352	34798.53	222690.9	0	491757.1	2963775
274746.5	174643.1	5454.864	995860.5	4569300	1503433	628577.1	40674.45	20142.47	123608.7	181383.4	70458.59	5849.601	639582.8	1542059	48982.21	97364.31	83068.47	67066.41	4798224	552830	151198.9	6539.389	6897.811	111336.7	232598.8	51231.14	275814.9	102409.7	0	7966301
2431231	4103443	192652.9	1997179	1976539	492025.1	3162886	940329.3	257593.1	3268634	1951964	527048.2	425550	1970128	1335658	18204.42	943519.2	293799.7	119940.7	241078.2	3109139	437112.4	439144.5	27869.83	787605.2	1213468	236720.5	1338348	332280.2	1.00E+07	0
0	106499.7	6.497	444160.7	2619.458	10284.34	8032.212	4.909	0	64.916	721.923	0.014	0	64.417	0.145	0	1770.48	27.614	0.97	880.318	310.474	14.749	43.845	0	45631.9	2093.333	15.027	6.385	146.218	39720.77	278314.5
1875.729	0	173.446	14619.83	93878.77	4072.987	128391.2	37.125	84.214	487.908	2703.705	462.217	0	16943.58	1458053	732.24	2122.25	4926.123	526.353	14.998	2446.087	222285.5	3463.342	40.66	13896.78	81.556	42.456	150.199	2326.272	43460.65	6366121
0.096	8161.737	0	2185.272	73.939	0.066	16461.03	1624.988	361.323	8353.201	125713.7	2133.979	5613.989	883.731	3.392	0.363	12141.6	858.733	0.288	109.758	13667.53	0	869.662	528.219	6148.991	841.759	169.605	3692.405	43408.72	84105.02	6220536
173063.3	513712.6	573.172	0	174633.2	602436.4	33140.35	254.433	133.205	3234.547	4968.925	501.304	0	2283.578	15486.13	544.374	2727.626	1257.662	31.773	6215.33	2173.809	8638.839	76.065	20307.48	51028.75	1761.853	216.896	1175.298	1988.383	709133.3	8500495
16469.13	212576.7	1709.936	76720.54	0.01	109320.9	39932.88	485265.5	135.273	3140.715	5189.54	6488.285	298.01	9196.146	16489.57	10846.84	30938.6	2307.622	177.36	679245.7	18754.04	310.199	4516893	356.452	96539.76	22637.69	30353.3	408.138	3032835	5846567	9069208
1912381	83569.5	61.663	539600.5	56941.41	0	4143.99	39.333	78.756	173.746	1332.571	0.373	0	69.925	63217.1	0	1005.777	60.39	1.092	30243.5	434.876	17170.16	164.897	20.26	3859.841	939.327	70.848	5.167	270.584	36311.43	2700892
397492.4	8137011	607.207	4629022	1056821	1939489	0	46.146	26930.26	11634.6	24221.3	16869.33	0	5790597	1975860	10907.21	57687.72	142879.7	51166.37	197810.9	13488.48	51167.55	261537.9	19076.4	1281700	123984.9	3191.563	275765.3	30458.45	640171.1	5.14E+07
0	7985.14	243.137	1548.58	1421.907	0	6247.246	0	2684.832	5329.766	92560.74	203.324	2.437	973.06	25.236	1.824	2073.597	35.186	38.073	76.532	10964.59	0.675	1137567	146.88	116457.1	3438.481	43633.93	859.621	12060.79	8887.654	281833.6
46229.98	228308.2	1954.135	60181.97	83011.75	118945.4	4157.222	411559.5	0	1298.789	20366.1	906.251	1.7	4842.103	101095.4	75486.2	797.063	145.458	182.454	40580.26	26356.53	2.89	120533.6	98817.2	12834.37	8866.593	257786.1	27039.68	247325.3	197598.2	4620764
0	717276.1	2731.179	712664.8	109676.4	7534.072	52635.23	643095	11571.74	0	2336310	9342.002	141.847	21970.13	14350.2	3780.102	273374.2	2889.203	37.328	3029.804	149057.7	344.664	6513378	8784.567	365800.1	99981.06	5564.388	7549.004	2047301	212566.6	3.40E+07
196656	400567	135368	1369021	573541	432965	260444	1150018	11299	111655	0	12694	6073	15798	103353	80569	68628	3921	2169	17391	783991	699	7218811	33877	1042716	58338	470581	22612	7756301	414070	5.18E+07
0	178.409	239.414	804.797	18.977	0	1052.989	154.38	1055.016	4203.499	9858.6	0	0	6370.134	4615.095	38.909	7842.881	9.71	0.725	0	2783.891	44.453	5038.159	278.619	10236.61	2132.975	37.469	19361.47	2569.159	35767.23	7515274
0	4798	10675	402	377	0	253	44	61	112279	193851	1469	0	155	13	0	4996	381	0	0	1468	0	86	0	413	266	94	140	2239	8466	4621721
11098.76	2096193	370.14	80502.26	59904.58	318886.3	408522.6	8.355	255.77	1701.726	8296.926	304.135	0	0	966193.5	9165.939	21336.47	12653.89	9278.104	855.917	25115.12	87234.45	2304.915	52.532	222582.4	6284.936	129.207	9364.294	1604588	242988.7	4.18E+07
661.118	316664.5	257.3	58608.54	76051.96	67514.56	659186.1	109.484	21.108	3635.607	13648.85	338.935	0	11510.29	0	0	10644.21	17850.9	2788.592	980.865	784.039	452.045	1925.61	136.972	4353.361	3442.019	248.097	4870.427	2631.52	26859.91	6096341
15.968	12884.81	230.027	42224.16	99.484	0	5779.523	25277.72	234.317	1743.576	12881.33	388.484	0	1980.937	29870.81	0	5958.832	408.513	12.036	6.705	2883.558	0.17	1138154	716.166	32526.37	6256.654	173.558	3526.6	761392	5829.726	202432.9
2246.754	568792.6	28355.66	779430.2	319917.7	85978.67	76185.61	2212.641	12800.04	123696.2	213910.9	18094.25	2045.889	111889.8	464018.9	23685.87	0	2702.614	135.427	43231.99	92850.5	295.816	832586.4	12344.33	511946.2	54533.27	8626.857	164568.6	451473.9	419170.3	3.36E+07
35536.83	1.60E+07	2912.942	1404129	1421730	2966312	2713472	440.007	4329.383	4453.937	11151.4	633.168	1025.648	524418.3	1.02E+07	215.062	5365.268	0	26266.09	452717.9	48460.77	86592.46	6433.134	1531.862	508656.1	3972.268	908.242	20501.01	9189.359	1186240	8.90E+07
24790.93	5913808	24042.45	1010069	580872.9	925512.6	2401096	31.486	256.941	1016.867	2653.586	109.847	86.8	133509.1	5757353	2.98	913.768	63836.95	0	35286.68	1186.299	1330.295	2213.981	25.28	110713.1	2514.971	170.81	6681.609	166192.1	381787.1	4.49E+07
44.876	504039	7707.564	180325.7	148600.3	179893.6	34454.44	66.638	153.368	1407.208	888.289	1500.929	11.127	6870.253	0.267	110.651	3665.074	911.428	3196.278	0	1990.532	2.396	634.03	22.154	5080.208	62842.36	1340.062	5404.132	842.241	3130509	254797.7
314.522	241116.5	1935.616	424106.2	223469.7	464910.8	296016.2	628322.9	25201.54	35780.92	2504363	9056.493	14.919	62076.45	86681.27	16220.88	107307.9	2481.368	17.403	3426.176	0	0	3039771	671.311	534988.2	14553.79	15131.87	7270.057	2329795	591000.5	1.96E+07
151.925	231437.3	16.86	109.304	16817.58	619.189	14665.87	1.388	0.059	268.196	2046.88	57.549	0	1427.516	176469.5	53.473	551.18	222.379	113.782	0	8.14	0	35.616	0	367.539	63.275	0	5.466	1058.137	5149.929	1364851
6.196	239.102	415.308	17875.12	39136.55	0	9070.212	20237.46	5182.987	8379.147	27034.23	1497.368	49.139	8044.019	13.37	35972.54	1530.086	1.313	212.549	1983.134	32430.7	0	0	1312.521	58709.85	25375.93	84383.47	1084.978	307417.8	5292.826	413440.2
295.445	68.17	432.004	383166.1	430.058	0	443.308	451.357	409.775	13771.9	4271.787	230.915	0	544.674	9883.827	0	1730.13	21.368	0	278938.8	2886.52	183.186	133413.8	0	138766.3	709101.5	671.843	3629.204	139945.8	24980.91	4518414
0.167	143028.2	112.365	6773.96	32782.78	20209.57	14961.53	0.114	17.923	1501.164	4083.027	502.084	0	6714.421	234.702	44.963	2092.11	2936.525	310.128	17697.5	1036.074	26660.87	3611.928	36.014	0	1197.876	2915.389	2005.539	3371.934	16263.11	7612914
46377.14	401947.9	1719.505	314846.5	70413.03	285719.8	66369.98	660.818	7495.396	86984.24	74702.31	13696.61	238.821	31735.9	838047.6	102937.6	141572	224.991	155.553	2789862	42286.96	151.519	1565724	132551.4	699272.3	0	761.455	96294.9	291313.6	288423.7	2.51E+07
0	217862.5	1122.371	32044.95	98747.82	239167.6	6083.491	2266017	18859.28	8540.007	100951.6	967.39	0	909.79	21368.03	1669.424	9145.595	392.743	9.912	240.977	143246	0	1893028	34607.55	615.904	3604.204	0	15639.37	511605.9	96107.79	3367317
0	109578	1611.184	147587.4	90429.57	6714.88	176427.9	51.774	2521.948	7824.258	19182.71	814.156	91.393	10707.12	20.49	127.895	20773.48	56.042	6.357	476.192	5417.06	309.383	2881.621	4748.068	135953	14776.4	113123.4	0	20272.55	239926.5	9714434
1562.665	1173118	2075.563	280515.1	1512919	59570.55	95101.4	182926.3	5150.782	56770.37	63200.02	12992.31	1167.534	58631.02	87665.74	67987.19	47820.96	2668.807	212.819	41069.77	106699.5	415.796	1.81E+07	7572.317	3057881	51305.44	10994.19	24761.37	0	501243.9	1.19E+07
1125112	484792.3	18117.19	2109369	5.34E+07	498748.5	930274.6	171.826	871.803	13154.29	48718.47	18050.64	11.65	74001.72	490930.9	11219.6	18108.07	18857.79	4174.194	2.43E+07	11227.6	4560.412	3393742	17192.08	570767	25068.1	8947.646	39360.29	4886870	0	1.37E+08
210067.2	8121310	428712.2	3285732	1280057	606451.4	2288046	37621.2	85318	191309.8	517035	65364.97	8631	892714.1	3442999	105514.8	301785.8	60795.59	14544.29	2159396	503745.1	53732.83	2324990	14187.22	1392153	199731.1	433819.9	212245.7	5952962	1277425	0.00E+00
0	194.617	304.364	237098.7	754.434	46903.94	7066.371	2767.535	0.235	4253.253	13487.15	220.715	1.578	166.898	1339.788	177.863	7656.884	412.66	1531.506	5251.709	11569.46	5183.983	189.403	5.006	994.303	6675.733	530.974	854.406	9566.702	33003.69	98778.71
34795.18	0	29654.5	85378.6	147701.7	19748.53	262450	127199.4	2628.54	144822.8	104705.4	46874.12	2891.501	61226	74688.48	335286.8	255510.2	36778.34	35360.27	39227.22	104385.9	885627.1	24624.9	3898.675	51073.28	95790.29	10013.29	25649.5	222168.1	467751	1176333
27470.86	6582.783	0	43417.32	2799.502	7159.063	28234.48	57705.76	10290.25	297576.7	2709448	28408.18	226801.1	7914.563	4726.265	45129.18	598205.1	3742.71	628.58	7359.8	389231.1	20230.91	3969.139	13677.66	9305.576	73478.43	16591.07	63567.13	68006.13	38187.12	951396.8
563247.2	7882.904	14618.21	0	14234.13	74105.96	24647.56	11029.81	772.794	63975.56	28839.3	499.905	139.189	1493.635	21250.7	2365.001	45279.93	1970.686	946.45	7523.167	43864.16	5516.95	118185.4	93832.28	3689.006	42381.85	3264.364	4069.982	61926.01	97426.16	453726.8
71078.3	361448.1	21552.14	344471.6	7.531	146300.7	427129.9	76227.22	9509.452	513773.4	138892.1	44972.03	5042.632	86042.05	30164.51	106901.1	436852.9	38402.87	27896.38	176339.5	149451.8	293744.7	38976.91	47228.29	56599.77	104852.3	34103.91	30482.71	290851.2	6942759	1339195
646783.1	1723.282	2075.867	256561	7084.153	0	6754.148	4138.401	1433.152	12371.48	9196.237	107.992	391.901	729.867	3008.752	11151.93	8679.041	609.948	1115.869	14239.41	22370.67	6205.972	2573.311	61.019	1645.717	14618.66	5848.207	779.385	24990.8	66858.75	365533.6
801068.6	570926.1	4273.702	372879.8	454849	250603.2	0	117943.6	26120.02	301861.3	96108.6	3727.324	801.58	191539.4	803446.1	54542.14	47705.25	307480.5	189424	28675.95	185572.7	512941.3	139539.3	9724.953	27114.04	50960.58	18659.65	13249.41	203759.9	1649502	4521553
328750.9	60293.37	38123.89	81847.4	110297.4	129593.6	72962.32	0	31327.87	482219.1	1483591	17062.41	19336.72	15485.59	20802.81	131400.3	329180.1	1048.363	369.128	1824.033	615306.4	108082.6	145062.9	30742.9	29238.34	162351.4	596886.8	20696.95	298333.2	71355.26	1329491
7494.56	15047.57	16791.61	44303.46	6305.025	25291.17	8604.855	200210.7	0	223868.1	451482.8	12176.58	11175.31	3126.193	9039.95	25355.08	93442.75	640.399	683.12	2499.114	239051.4	12554.89	59157.05	6401.226	17253.23	67928.64	360468.2	10867.15	106206.6	30676.64	342978.9
316595.3	71364.03	162370.2	1119837	114572.7	166895.6	257440.1	469109.6	32871.2	0	4011899	83230.66	108694.7	182602	146683.6	653978.7	2489210	22401.89	4297.72	19253.88	4090103	292476.3	126858.6	290062.4	51714.48	3056482	110196.5	135569.8	1852326	394857.6	7700584
505841	140083	1802596	1104989	72381	249436	615023	2056251	80148	4770729	0	409401	440517	138694	469593	1080168	3647586	25612	8634	35492	6494356	384963	167936	117550	120777	1342578	151454	738565	994683	567551	8673910
53965.66	5148.808	52868.58	31205.43	5111.408	2811.245	13349.95	171844.5	18098.45	681285.4	793974	0	11197.12	22865.44	17778.06	58099.46	504055.8	191.999	562.237	10975.85	898193.8	45003.27	19690.87	14879.4	4721.074	234586.5	40226.58	37283.99	243037.5	26493.78	754828.5
5108	116	150731	7330	1730	277	4195	42893	857	88114	548886	12481	0	3993	2082	10428	121320	167	68	808	236406	121	406	1173	496	45178	10009	6586	31526	13506	779365
582093.8	80874.48	2257.944	511024.4	2616.546	12060.6	23927.97	4708.394	402.216	21904.18	17872.12	1766.623	258.683	0	1104924	1311.106	14819.96	4705.639	3665.23	597.86	20699.96	12425.18	1245.224	274.24	24867.89	8351.727	918.569	2882.422	36648.05	68621.45	754908.7
